city,brewery_name,beer_name_key,yelp_review_count,yelp_rating,longitude,phone,state,brewery_key,abv,ratings_count,phone_key,avg_score,bros_score,style_name,latittude,style_key,beer_name
Oakhurst,South Gate Brewing Company,129471,375,4.5,-119.661137,(559) 692-2739,CA,32943,5.80,0,5596922739,,,American Porter,37.332955,159,Deadwood Porter
Oakhurst,South Gate Brewing Company,129470,375,4.5,-119.661137,(559) 692-2739,CA,32943,5.60,0,5596922739,,,American Pale Ale (APA),37.332955,97,Glacier Point Pale Ale
Oakhurst,South Gate Brewing Company,129469,375,4.5,-119.661137,(559) 692-2739,CA,32943,4.70,2,5596922739,3.6,,American Blonde Ale,37.332955,99,Gold Diggin’ Blonde
Oakhurst,South Gate Brewing Company,129472,375,4.5,-119.661137,(559) 692-2739,CA,32943,5.00,1,5596922739,,,American Pale Wheat Ale,37.332955,93,Honey Badger Wheat Ale
Oakhurst,South Gate Brewing Company,178246,375,4.5,-119.661137,(559) 692-2739,CA,32943,,3,5596922739,,,American Blonde Ale,37.332955,99,James Blonde
Oakhurst,South Gate Brewing Company,210398,375,4.5,-119.661137,(559) 692-2739,CA,32943,6.50,1,5596922739,,,American Stout,37.332955,158,Oatmeal Stout
Oakhurst,South Gate Brewing Company,127083,375,4.5,-119.661137,(559) 692-2739,CA,32943,7.40,9,5596922739,4.1,,American IPA,37.332955,116,Sawtooth IPA
Oakhurst,South Gate Brewing Company,210396,375,4.5,-119.661137,(559) 692-2739,CA,32943,9.50,1,5596922739,,,American Amber / Red Ale,37.332955,128,Tomahawk Imperial Red Ale
Vista,Latitude 33° Brewing Company,163501,-1,-1,,(855) 598-2337,CA,27109,5.20,3,8555982337,3.49,,American Pale Wheat Ale,,93,American Wheat
Vista,Latitude 33° Brewing Company,202476,-1,-1,,(855) 598-2337,CA,27109,7.30,0,8555982337,,,American Black Ale,,175,Barlow
Vista,Latitude 33° Brewing Company,163502,-1,-1,,(855) 598-2337,CA,27109,4.90,2,8555982337,3.92,,Witbier,,48,Belgo Wheat
Vista,Latitude 33° Brewing Company,98416,-1,-1,,(855) 598-2337,CA,27109,7.40,5,8555982337,3.77,,Saison / Farmhouse Ale,,129,Bière De Mars
Vista,Latitude 33° Brewing Company,199521,-1,-1,,(855) 598-2337,CA,27109,7.30,5,8555982337,3.96,,American IPA,,116,Blood Orange IPA
Vista,Latitude 33° Brewing Company,83304,-1,-1,,(855) 598-2337,CA,27109,8.50,32,8555982337,4.12,,Oatmeal Stout,,69,Breakfast With Wilford Oatmeal Coffee Stout
Vista,Latitude 33° Brewing Company,80712,-1,-1,,(855) 598-2337,CA,27109,6.80,52,8555982337,3.85,,American IPA,,116,Camel Corps
Vista,Latitude 33° Brewing Company,107602,-1,-1,,(855) 598-2337,CA,27109,8.50,3,8555982337,3.58,,American IPA,,116,Camel Corps Wet Hump
Vista,Latitude 33° Brewing Company,83302,-1,-1,,(855) 598-2337,CA,27109,8.25,36,8555982337,3.82,,American Strong Ale,,78,Carolina Honey Hips Strong Blonde Ale
Vista,Latitude 33° Brewing Company,186930,-1,-1,,(855) 598-2337,CA,27109,6.00,6,8555982337,3.98,,American Wild Ale,,171,Citrus Sour Ale
Vista,Latitude 33° Brewing Company,202477,-1,-1,,(855) 598-2337,CA,27109,5.00,0,8555982337,,,American Amber / Red Ale,,128,Crimson
Vista,Latitude 33° Brewing Company,80872,-1,-1,,(855) 598-2337,CA,27109,10.00,22,8555982337,3.87,,American Double / Imperial IPA,,140,Double Hump
Vista,Latitude 33° Brewing Company,83303,-1,-1,,(855) 598-2337,CA,27109,11.00,9,8555982337,3.91,,Wheatwine,,60,First Fleet Wheatwine
Vista,Latitude 33° Brewing Company,84050,-1,-1,,(855) 598-2337,CA,27109,5.00,10,8555982337,3.91,,American Pale Ale (APA),,97,GB's Pale Ale
Vista,Latitude 33° Brewing Company,84767,-1,-1,,(855) 598-2337,CA,27109,5.80,6,8555982337,3.49,,German Pilsener,,41,Germans In The Desert Pilsner
Vista,Latitude 33° Brewing Company,173374,-1,-1,,(855) 598-2337,CA,27109,8.30,0,8555982337,,,American Blonde Ale,,99,Honey Hips
Vista,Latitude 33° Brewing Company,107603,-1,-1,,(855) 598-2337,CA,27109,7.20,1,8555982337,3.75,,American IPA,,116,Mother Earth Drink Local First IPA
Vista,Latitude 33° Brewing Company,105572,-1,-1,,(855) 598-2337,CA,27109,13.00,14,8555982337,3.99,,American Double / Imperial Stout,,157,Murder By Death
Vista,Latitude 33° Brewing Company,131974,-1,-1,,(855) 598-2337,CA,27109,7.30,4,8555982337,3.89,,American IPA,,116,North County IPA
Vista,Latitude 33° Brewing Company,147660,-1,-1,,(855) 598-2337,CA,27109,7.90,2,8555982337,3.51,,American Wild Ale,,171,Randal
Vista,Latitude 33° Brewing Company,153900,-1,-1,,(855) 598-2337,CA,27109,7.30,8,8555982337,3.9,,American IPA,,116,San Diego IPA
Vista,Latitude 33° Brewing Company,115576,-1,-1,,(855) 598-2337,CA,27109,7.90,3,8555982337,3.55,,Smoked Beer,,11,Smoked Porter
Vista,Latitude 33° Brewing Company,132931,-1,-1,,(855) 598-2337,CA,27109,6.80,2,8555982337,4,,Chile Beer,,163,Spicy Camel
Vista,Latitude 33° Brewing Company,80717,-1,-1,,(855) 598-2337,CA,27109,5.20,10,8555982337,3.58,,American Pale Wheat Ale,,93,Straw Horse
Vista,Latitude 33° Brewing Company,193193,-1,-1,,(855) 598-2337,CA,27109,5.00,2,8555982337,3.74,,German Pilsener,,41,The Crew's Pilsner
Vista,Latitude 33° Brewing Company,80718,-1,-1,,(855) 598-2337,CA,27109,6.00,22,8555982337,3.76,,American Brown Ale,,73,The Pasha’s Rye Brown Ale
Vista,Latitude 33° Brewing Company,81345,-1,-1,,(855) 598-2337,CA,27109,6.00,1,8555982337,4.17,,American Brown Ale,,73,The Pasha’s Rye Brown Ale With Rosemary
Vista,Latitude 33° Brewing Company,173375,-1,-1,,(855) 598-2337,CA,27109,7.30,7,8555982337,3.38,,American IPA,,116,Thirty Three IPA
Vista,Latitude 33° Brewing Company,202475,-1,-1,,(855) 598-2337,CA,27109,4.90,0,8555982337,,,Witbier,,48,True Grit
Vista,Latitude 33° Brewing Company,82440,-1,-1,,(855) 598-2337,CA,27109,6.50,65,8555982337,3.54,,American Porter,,159,Vanilla’s Porter
Vista,Latitude 33° Brewing Company,81395,-1,-1,,(855) 598-2337,CA,27109,6.50,2,8555982337,3.95,,American Porter,,159,Vanilla’s Porter With Chilis And Cocoa Nibs
Vista,Latitude 33° Brewing Company,129619,-1,-1,,(855) 598-2337,CA,27109,5.30,7,8555982337,3.9,,American Pale Ale (APA),,97,Worldly Scholar
Laguna Beach,Ocean Avenue Brewery,103159,185,3.5,-117.783529,(949) 497-3381,CA,2698,,1,9494973381,3.25,,American Blonde Ale,33.54281,99,Laguna Honey Blonde Lager
Laguna Beach,Ocean Avenue Brewery,13963,185,3.5,-117.783529,(949) 497-3381,CA,2698,4.70,8,9494973381,3.42,,American Pale Ale (APA),33.54281,97,Ocean Pale Ale
Laguna Beach,Ocean Avenue Brewery,13964,185,3.5,-117.783529,(949) 497-3381,CA,2698,,8,9494973381,3.58,,American Amber / Red Ale,33.54281,128,Red Sunshine
Laguna Beach,Ocean Avenue Brewery,13962,185,3.5,-117.783529,(949) 497-3381,CA,2698,,6,9494973381,3.53,,American Pale Wheat Ale,33.54281,93,Watchtower Wheat
Redding,Woody's Brewing Co.,154294,171,4.0,-122.395080566406,(530) 768-1034,CA,38302,5.50,0,5307681034,,,American Pale Wheat Ale,40.5859146118164,93,Apricot Wheat
Redding,Woody's Brewing Co.,183951,171,4.0,-122.395080566406,(530) 768-1034,CA,38302,8.00,1,5307681034,3.65,,American Double / Imperial IPA,40.5859146118164,140,Berzerker
Sunnyvale,Firehouse Grill & Brewery,56029,660,2.5,-122.030273,(408) 773-9500,CA,12788,10.00,2,4087739500,3.76,,American Strong Ale,37.377434,78,Bill Brand Imperial Red Ale
